@relation wine_features_01_6_18

@attribute 2 numeric
@attribute 1 numeric
@attribute 12 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 0 numeric
@attribute type {1,2,3}

@data
2.43,1.71,1065,2.29,5.64,14.23,1
2.14,1.78,1050,1.28,4.38,13.2,1
2.67,2.36,1185,2.81,5.68,13.16,1
2.5,1.95,1480,2.18,7.8,14.37,1
2.87,2.59,735,1.82,4.32,13.24,1
2.45,1.76,1450,1.97,6.75,14.2,1
2.45,1.87,1290,1.98,5.25,14.39,1
2.61,2.15,1295,1.25,5.05,14.06,1
2.17,1.64,1045,1.98,5.2,14.83,1
2.27,1.35,1045,1.85,7.22,13.86,1
2.3,2.16,1510,2.38,5.75,14.1,1
2.32,1.48,1280,1.57,5,14.12,1
2.41,1.73,1320,1.81,5.6,13.75,1
2.39,1.73,1150,2.81,5.4,14.75,1
2.38,1.87,1547,2.96,7.5,14.38,1
2.7,1.81,1310,1.46,7.3,13.63,1
2.72,1.92,1280,1.97,6.2,14.3,1
2.62,1.57,1130,1.72,6.6,13.83,1
2.48,1.59,1680,1.86,8.7,14.19,1
2.56,3.1,845,1.66,5.1,13.64,1
2.28,1.63,780,2.1,5.65,14.06,1
2.65,3.8,770,1.98,4.5,12.93,1
2.36,1.86,1035,1.69,3.8,13.71,1
2.52,1.6,1015,1.46,3.93,12.85,1
2.61,1.81,845,1.66,3.52,13.5,1
3.22,2.05,830,1.92,3.58,13.05,1
2.62,1.77,1195,1.45,4.8,13.39,1
2.14,1.72,1285,1.35,3.95,13.3,1
2.8,1.9,915,1.76,4.5,13.87,1
2.21,1.68,1035,1.98,4.7,14.02,1
2.7,1.5,1285,2.38,5.7,13.73,1
2.36,1.66,1515,1.95,6.9,13.58,1
2.36,1.83,990,1.97,3.84,13.68,1
2.7,1.53,1235,1.35,5.4,13.76,1
2.65,1.8,1095,1.54,4.2,13.51,1
2.41,1.81,920,1.86,5.1,13.48,1
2.84,1.64,880,1.36,4.6,13.28,1
2.55,1.65,1105,1.44,4.25,13.05,1
2.1,1.5,1020,1.37,3.7,13.07,1
2.51,3.99,760,2.08,5.1,14.22,1
2.31,1.71,795,2.34,6.13,13.56,1
2.12,3.84,1035,1.48,4.28,13.41,1
2.59,1.89,1095,1.7,5.43,13.88,1
2.29,3.98,680,1.66,4.36,13.24,1
2.1,1.77,885,2.03,5.04,13.05,1
2.44,4.04,1080,1.25,5.24,14.21,1
2.28,3.59,1065,2.19,4.9,14.38,1
2.12,1.68,985,2.14,6.1,13.9,1
2.4,2.02,1060,2.38,6.2,14.1,1
2.27,1.73,1260,2.08,8.9,13.94,1
2.04,1.73,1150,2.91,7.2,13.05,1
2.6,1.65,1265,2.29,5.6,13.83,1
2.42,1.75,1190,1.87,7.05,13.82,1
2.68,1.9,1375,1.68,6.3,13.77,1
2.25,1.67,1060,1.62,5.85,13.74,1
2.46,1.73,1120,2.45,6.25,13.56,1
2.3,1.7,970,2.03,6.38,14.22,1
2.68,1.97,1270,1.66,6,13.29,1
2.5,1.43,1285,2.04,6.8,13.72,1
1.36,0.94,520,0.42,1.95,12.37,2
2.28,1.1,680,0.41,3.27,12.33,2
2.02,1.36,450,0.62,5.75,12.64,2
1.92,1.25,630,0.73,3.8,13.67,2
2.16,1.13,420,1.87,4.45,12.37,2
2.53,1.45,355,1.03,2.95,12.17,2
2.56,1.21,678,2.08,4.6,12.37,2
1.7,1.01,502,2.28,5.3,13.11,2
1.92,1.17,510,1.04,4.68,12.37,2
2.36,0.94,750,0.42,3.17,13.34,2
1.75,1.19,718,2.5,2.85,12.21,2
2.21,1.61,870,1.46,3.05,12.29,2
2.67,1.51,410,1.87,3.38,13.86,2
2.24,1.66,472,1.03,3.74,13.49,2
2.6,1.67,985,1.96,3.35,12.99,2
2.3,1.09,886,1.65,3.21,11.96,2
1.92,1.88,428,1.15,3.8,11.66,2
1.71,0.9,392,1.46,4.6,13.03,2
2.23,2.89,500,0.95,2.65,11.84,2
1.95,0.99,750,2.76,3.4,12.33,2
2.4,3.87,463,1.95,2.57,12.7,2
2,0.92,278,1.43,2.5,12,2
2.2,1.81,714,1.77,3.9,12.72,2
2.51,1.13,630,1.4,2.2,12.08,2
2.32,3.86,515,1.62,4.8,13.05,2
2.58,0.89,520,2.35,3.05,11.84,2
2.24,0.98,450,1.46,2.62,12.67,2
2.31,1.61,495,1.56,2.45,12.16,2
2.62,1.67,562,1.34,2.6,11.65,2
2.46,2.06,680,1.35,2.8,11.64,2
2.3,1.33,625,1.38,1.74,12.08,2
2.32,1.83,480,1.64,2.4,12.08,2
2.42,1.51,450,1.63,3.6,12,2
2.26,1.53,495,1.62,3.05,12.69,2
2.22,2.83,290,1.99,2.15,12.29,2
2.28,1.99,345,1.35,3.25,11.62,2
2.2,1.52,937,3.28,2.6,12.47,2
2.74,2.12,625,1.56,2.5,11.81,2
1.98,1.41,428,1.77,2.9,12.29,2
2.1,1.07,660,1.95,4.5,12.37,2
2.21,3.17,406,2.81,2.3,12.29,2
1.7,2.08,710,1.4,3.3,12.08,2
1.9,1.34,562,1.35,2.45,12.6,2
2.46,2.45,438,1.31,2.8,12.34,2
1.88,1.72,415,1.42,2.06,11.82,2
1.98,1.73,672,1.48,2.94,12.51,2
2.27,2.55,315,1.42,2.7,12.42,2
2.12,1.73,510,1.63,3.4,12.25,2
2.28,1.75,488,1.63,3.3,12.72,2
1.94,1.29,312,2.08,2.7,12.22,2
2.7,1.35,680,2.49,2.65,11.61,2
1.82,3.74,562,3.58,2.9,11.46,2
2.17,2.43,325,1.22,2,12.52,2
2.92,2.68,607,1.05,3.8,11.76,2
2.5,0.74,434,1.44,3.08,11.41,2
2.5,1.39,385,1.04,2.9,12.08,2
2.2,1.51,407,2.01,1.9,11.03,2
1.99,1.47,495,1.53,1.95,11.82,2
2.19,1.61,345,1.61,2.06,12.42,2
1.98,3.43,372,0.83,3.4,12.77,2
2,3.43,564,1.87,1.28,12,2
2.42,2.4,625,1.83,3.25,11.45,2
3.23,2.05,465,1.87,6,11.56,2
2.73,4.43,365,1.71,2.08,12.42,2
2.13,5.8,380,2.01,2.6,13.05,2
2.39,4.31,380,2.91,2.8,11.87,2
2.17,2.16,378,1.35,2.76,12.07,2
2.29,1.53,352,1.77,3.94,12.43,2
2.78,2.13,466,1.76,3,11.79,2
2.3,1.63,342,1.9,2.12,12.37,2
2.38,4.3,580,1.35,2.6,12.04,2
2.32,1.35,630,0.94,4.1,12.86,3
2.4,2.99,530,0.83,5.4,12.88,3
2.4,2.31,560,0.83,5.7,12.81,3
2.36,3.55,600,0.84,5,12.7,3
2.25,1.24,650,1.25,5.45,12.51,3
2.2,2.46,695,0.94,7.1,12.6,3
2.54,4.72,720,0.8,3.85,12.25,3
2.64,5.51,515,1.1,5,12.53,3
2.19,3.59,580,0.88,5.7,13.49,3
2.61,2.96,590,0.81,4.92,12.84,3
2.7,2.81,600,0.75,4.6,12.93,3
2.35,2.56,780,0.64,5.6,13.36,3
2.72,3.17,520,0.55,4.35,13.52,3
2.35,4.95,550,1.02,4.4,13.62,3
2.2,3.88,855,1.14,8.21,12.25,3
2.15,3.57,830,1.3,4,13.16,3
2.23,5.04,415,0.68,4.9,13.88,3
2.48,4.61,625,0.86,7.65,12.87,3
2.38,3.24,650,1.25,8.42,13.32,3
2.36,3.9,550,1.14,9.4,13.08,3
2.62,3.12,500,1.25,8.6,13.5,3
2.48,2.67,480,1.26,10.8,12.79,3
2.75,1.9,425,1.56,7.1,13.11,3
2.28,3.3,675,1.87,10.52,13.23,3
2.1,1.29,640,1.4,7.6,12.58,3
2.32,5.19,725,1.55,7.9,13.17,3
2.38,4.12,480,1.56,9.01,13.84,3
2.64,3.03,880,1.14,7.5,12.45,3
2.7,1.68,660,2.7,13,14.34,3
2.64,1.67,620,2.29,11.75,13.48,3
2.38,3.83,520,1.04,7.65,12.36,3
2.54,3.26,680,0.8,5.88,13.69,3
2.58,3.27,570,0.96,5.58,12.85,3
2.35,3.45,675,0.94,5.28,12.96,3
2.3,2.76,615,1.03,9.58,13.78,3
2.26,4.36,520,1.15,6.62,13.73,3
2.6,3.7,695,1.46,10.68,13.45,3
2.3,3.37,685,0.97,10.26,12.82,3
2.69,2.58,750,1.54,8.66,13.58,3
2.86,4.6,630,1.11,8.5,13.4,3
2.32,3.03,510,0.73,5.5,12.2,3
2.28,2.39,470,0.64,9.899999,12.77,3
2.48,2.51,660,1.24,9.7,14.16,3
2.45,5.65,740,1.06,7.7,13.71,3
2.48,3.91,750,1.41,7.3,13.4,3
2.26,4.28,835,1.35,10.2,13.27,3
2.37,2.59,840,1.46,9.3,13.17,3
2.74,4.1,560,1.35,9.2,14.13,3
