2,1,12,9,11,0,type
2.43,1.71,1065,5.64,3.92,14.23,1
2.14,1.78,1050,4.38,3.4,13.2,1
2.67,2.36,1185,5.68,3.17,13.16,1
2.5,1.95,1480,7.8,3.45,14.37,1
2.87,2.59,735,4.32,2.93,13.24,1
2.45,1.76,1450,6.75,2.85,14.2,1
2.45,1.87,1290,5.25,3.58,14.39,1
2.61,2.15,1295,5.05,3.58,14.06,1
2.17,1.64,1045,5.2,2.85,14.83,1
2.27,1.35,1045,7.22,3.55,13.86,1
2.3,2.16,1510,5.75,3.17,14.1,1
2.32,1.48,1280,5,2.82,14.12,1
2.41,1.73,1320,5.6,2.9,13.75,1
2.39,1.73,1150,5.4,2.73,14.75,1
2.38,1.87,1547,7.5,3,14.38,1
2.7,1.81,1310,7.3,2.88,13.63,1
2.72,1.92,1280,6.2,2.65,14.3,1
2.62,1.57,1130,6.6,2.57,13.83,1
2.48,1.59,1680,8.7,2.82,14.19,1
2.56,3.1,845,5.1,3.36,13.64,1
2.28,1.63,780,5.65,3.71,14.06,1
2.65,3.8,770,4.5,3.52,12.93,1
2.36,1.86,1035,3.8,4,13.71,1
2.52,1.6,1015,3.93,3.63,12.85,1
2.61,1.81,845,3.52,3.82,13.5,1
3.22,2.05,830,3.58,3.2,13.05,1
2.62,1.77,1195,4.8,3.22,13.39,1
2.14,1.72,1285,3.95,2.77,13.3,1
2.8,1.9,915,4.5,3.4,13.87,1
2.21,1.68,1035,4.7,3.59,14.02,1
2.7,1.5,1285,5.7,2.71,13.73,1
2.36,1.66,1515,6.9,2.88,13.58,1
2.36,1.83,990,3.84,2.87,13.68,1
2.7,1.53,1235,5.4,3,13.76,1
2.65,1.8,1095,4.2,2.87,13.51,1
2.41,1.81,920,5.1,3.47,13.48,1
2.84,1.64,880,4.6,2.78,13.28,1
2.55,1.65,1105,4.25,2.51,13.05,1
2.1,1.5,1020,3.7,2.69,13.07,1
2.51,3.99,760,5.1,3.53,14.22,1
2.31,1.71,795,6.13,3.38,13.56,1
2.12,3.84,1035,4.28,3,13.41,1
2.59,1.89,1095,5.43,3.56,13.88,1
2.29,3.98,680,4.36,3,13.24,1
2.1,1.77,885,5.04,3.35,13.05,1
2.44,4.04,1080,5.24,3.33,14.21,1
2.28,3.59,1065,4.9,3.44,14.38,1
2.12,1.68,985,6.1,3.33,13.9,1
2.4,2.02,1060,6.2,2.75,14.1,1
2.27,1.73,1260,8.9,3.1,13.94,1
2.04,1.73,1150,7.2,2.91,13.05,1
2.6,1.65,1265,5.6,3.37,13.83,1
2.42,1.75,1190,7.05,3.26,13.82,1
2.68,1.9,1375,6.3,2.93,13.77,1
2.25,1.67,1060,5.85,3.2,13.74,1
2.46,1.73,1120,6.25,3.03,13.56,1
2.3,1.7,970,6.38,3.31,14.22,1
2.68,1.97,1270,6,2.84,13.29,1
2.5,1.43,1285,6.8,2.87,13.72,1
1.36,0.94,520,1.95,1.82,12.37,2
2.28,1.1,680,3.27,1.67,12.33,2
2.02,1.36,450,5.75,1.59,12.64,2
1.92,1.25,630,3.8,2.46,13.67,2
2.16,1.13,420,4.45,2.87,12.37,2
2.53,1.45,355,2.95,2.23,12.17,2
2.56,1.21,678,4.6,2.3,12.37,2
1.7,1.01,502,5.3,3.18,13.11,2
1.92,1.17,510,4.68,3.48,12.37,2
2.36,0.94,750,3.17,1.93,13.34,2
1.75,1.19,718,2.85,3.07,12.21,2
2.21,1.61,870,3.05,1.82,12.29,2
2.67,1.51,410,3.38,3.16,13.86,2
2.24,1.66,472,3.74,2.78,13.49,2
2.6,1.67,985,3.35,3.5,12.99,2
2.3,1.09,886,3.21,3.13,11.96,2
1.92,1.88,428,3.8,2.14,11.66,2
1.71,0.9,392,4.6,2.48,13.03,2
2.23,2.89,500,2.65,2.52,11.84,2
1.95,0.99,750,3.4,2.31,12.33,2
2.4,3.87,463,2.57,3.13,12.7,2
2,0.92,278,2.5,3.12,12,2
2.2,1.81,714,3.9,3.14,12.72,2
2.51,1.13,630,2.2,2.72,12.08,2
2.32,3.86,515,4.8,2.01,13.05,2
2.58,0.89,520,3.05,3.08,11.84,2
2.24,0.98,450,2.62,3.16,12.67,2
2.31,1.61,495,2.45,2.26,12.16,2
2.62,1.67,562,2.6,3.21,11.65,2
2.46,2.06,680,2.8,2.75,11.64,2
2.3,1.33,625,1.74,3.21,12.08,2
2.32,1.83,480,2.4,2.27,12.08,2
2.42,1.51,450,3.6,2.65,12,2
2.26,1.53,495,3.05,2.06,12.69,2
2.22,2.83,290,2.15,3.3,12.29,2
2.28,1.99,345,3.25,2.96,11.62,2
2.2,1.52,937,2.6,2.63,12.47,2
2.74,2.12,625,2.5,2.26,11.81,2
1.98,1.41,428,2.9,2.74,12.29,2
2.1,1.07,660,4.5,2.77,12.37,2
2.21,3.17,406,2.3,2.83,12.29,2
1.7,2.08,710,3.3,2.96,12.08,2
1.9,1.34,562,2.45,2.77,12.6,2
2.46,2.45,438,2.8,3.38,12.34,2
1.88,1.72,415,2.06,2.44,11.82,2
1.98,1.73,672,2.94,3.57,12.51,2
2.27,2.55,315,2.7,3.3,12.42,2
2.12,1.73,510,3.4,3.17,12.25,2
2.28,1.75,488,3.3,2.42,12.72,2
1.94,1.29,312,2.7,3.02,12.22,2
2.7,1.35,680,2.65,3.26,11.61,2
1.82,3.74,562,2.9,2.81,11.46,2
2.17,2.43,325,2,2.78,12.52,2
2.92,2.68,607,3.8,2.5,11.76,2
2.5,0.74,434,3.08,2.31,11.41,2
2.5,1.39,385,2.9,3.19,12.08,2
2.2,1.51,407,1.9,2.87,11.03,2
1.99,1.47,495,1.95,3.33,11.82,2
2.19,1.61,345,2.06,2.96,12.42,2
1.98,3.43,372,3.4,2.12,12.77,2
2,3.43,564,1.28,3.05,12,2
2.42,2.4,625,3.25,3.39,11.45,2
3.23,2.05,465,6,3.69,11.56,2
2.73,4.43,365,2.08,3.12,12.42,2
2.13,5.8,380,2.6,3.1,13.05,2
2.39,4.31,380,2.8,3.64,11.87,2
2.17,2.16,378,2.76,3.28,12.07,2
2.29,1.53,352,3.94,2.84,12.43,2
2.78,2.13,466,3,2.44,11.79,2
2.3,1.63,342,2.12,2.78,12.37,2
2.38,4.3,580,2.6,2.57,12.04,2
2.32,1.35,630,4.1,1.29,12.86,3
2.4,2.99,530,5.4,1.42,12.88,3
2.4,2.31,560,5.7,1.36,12.81,3
2.36,3.55,600,5,1.29,12.7,3
2.25,1.24,650,5.45,1.51,12.51,3
2.2,2.46,695,7.1,1.58,12.6,3
2.54,4.72,720,3.85,1.27,12.25,3
2.64,5.51,515,5,1.69,12.53,3
2.19,3.59,580,5.7,1.82,13.49,3
2.61,2.96,590,4.92,2.15,12.84,3
2.7,2.81,600,4.6,2.31,12.93,3
2.35,2.56,780,5.6,2.47,13.36,3
2.72,3.17,520,4.35,2.06,13.52,3
2.35,4.95,550,4.4,2.05,13.62,3
2.2,3.88,855,8.21,2,12.25,3
2.15,3.57,830,4,1.68,13.16,3
2.23,5.04,415,4.9,1.33,13.88,3
2.48,4.61,625,7.65,1.86,12.87,3
2.38,3.24,650,8.42,1.62,13.32,3
2.36,3.9,550,9.4,1.33,13.08,3
2.62,3.12,500,8.6,1.3,13.5,3
2.48,2.67,480,10.8,1.47,12.79,3
2.75,1.9,425,7.1,1.33,13.11,3
2.28,3.3,675,10.52,1.51,13.23,3
2.1,1.29,640,7.6,1.55,12.58,3
2.32,5.19,725,7.9,1.48,13.17,3
2.38,4.12,480,9.01,1.64,13.84,3
2.64,3.03,880,7.5,1.73,12.45,3
2.7,1.68,660,13,1.96,14.34,3
2.64,1.67,620,11.75,1.78,13.48,3
2.38,3.83,520,7.65,1.58,12.36,3
2.54,3.26,680,5.88,1.82,13.69,3
2.58,3.27,570,5.58,2.11,12.85,3
2.35,3.45,675,5.28,1.75,12.96,3
2.3,2.76,615,9.58,1.68,13.78,3
2.26,4.36,520,6.62,1.75,13.73,3
2.6,3.7,695,10.68,1.56,13.45,3
2.3,3.37,685,10.26,1.75,12.82,3
2.69,2.58,750,8.66,1.8,13.58,3
2.86,4.6,630,8.5,1.92,13.4,3
2.32,3.03,510,5.5,1.83,12.2,3
2.28,2.39,470,9.899999,1.63,12.77,3
2.48,2.51,660,9.7,1.71,14.16,3
2.45,5.65,740,7.7,1.74,13.71,3
2.48,3.91,750,7.3,1.56,13.4,3
2.26,4.28,835,10.2,1.56,13.27,3
2.37,2.59,840,9.3,1.62,13.17,3
2.74,4.1,560,9.2,1.6,14.13,3
